,pChEMBL,Canomicalsmiles
102,9.0,CCNC(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCN(C)CC3)cc2OC)ncc1Cl
103,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OCCN3CCOCC3)ccc2OC)ncc1Cl
104,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCNC(=O)C3)cc2OC)ncc1Cl
105,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Cl
106,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2OC)ncc1Cl
107,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCC3CCN(C)CC3)cc2OC)ncc1Cl
108,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2OC)ncc1Cl
109,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(O)CC3)ccc2OC)ncc1Cl
110,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(C#N)CC3)cc2OC)ncc1Br
111,9.0,CNC(=O)c1cc(N2CCN(C)CC2)ccc1Nc1nc(Nc2ccc(F)cc2OC)ncc1Cl
112,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(NC(C)=O)C3)cc2OC)ncc1Cl
113,9.0,COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
114,9.0,COc1cc(N2CCC(O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc3c2C(=O)N(C)C3)n1
115,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCS(=O)(=O)CC3)cc2OC)ncc1Br
116,9.0,CCN1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)c(OC)c2)CC1
117,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(O)CC3)ccc2OC)ncc1Cl
118,9.0,CNC(=O)c1cc(N2CCOCC2)ccc1Nc1nc(Nc2ccc(F)cc2OC)ncc1Cl
119,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(O)CC3)cc2OC)ncc1Cl
120,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCOCC3)ccc2OC)ncc1Cl
121,9.0,COc1cc(OC2CCN(C)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
122,9.0,CCNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl
123,9.0,CC(C)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2F)ncc1Cl
124,9.0,COc1cc(N2CCC(N(C)C)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
125,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(NC)C3)ccc2OC)ncc1Cl
126,9.0,CNC1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)NC)n3)c(OC)c2)C1
127,9.0,COc1cc(N2CCC(O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
128,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C)CC3)ccc2OC)ncc1Cl
129,9.0,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)CC(C)C)n1
130,9.0,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
131,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C)CC3)ccc2OC)ncc1Br
132,9.0,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2cccc3c2C(=O)CC3)n1
133,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(NC)C3)cc2OC)ncc1Cl
134,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCN(C)CC3)cc2OC)ncc1Br
135,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(OCC3CCN(C)CC3)cc2OC)ncc1Cl
136,9.0,COc1cc(N2CCN(C)C(=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
137,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC3CCNCC3)ccc2OC)ncc1Br
138,9.0,CCOc1cc(N2CCOCC2)ccc1Nc1ncc(Br)c(Nc2ccccc2S(=O)(=O)NC)n1
139,9.0,CCOc1ccc(N2CCOCC2)cc1Nc1ncc(Br)c(Nc2ccccc2S(=O)(=O)NC)n1
140,9.0,CNC(=O)c1cc(F)ccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl
141,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N(CCOC)CCOC)cc2OC)ncc1Br
142,9.0,CCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(CN3CCN(C)CC3)cc2OC)ncc1Cl
143,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(NC)C3)ccc2OC)ncc1Cl
