,ID,Canomicalsmiles,pChEMBL
140,309,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccccc2OC(F)(F)F)ncc1Cl,1
141,420,CC(C)NC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3cncs3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
142,21,COc1cc(N2CCCC(C(N)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1,1
143,465,CC(C)(O)C1CCN(Cc2ccc3[nH]/c(=N\C(=O)c4cccc(F)c4)n([C@H]4CC[C@H](C(N)=O)CC4)c3c2)CC1,1
144,534,CCc1ccc(OCC(=O)NCc2nc(C(=O)NCCc3cccc(Cl)c3)cs2)cc1,0
145,236,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccccc2OC)ncc1Br,1
146,560,COc1ccc([C@H](C)NC(=O)c2csc(CNC(=O)COc3ccc(OC(F)(F)F)cc3)n2)cc1,0
147,323,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCN(C2COC2)CC1,1
148,807,COC(=O)CCNC(=O)Cc1cccc(-n2ccc3cnc(Nc4cc(OC)c(OC)c(OC)c4)nc32)c1,0
149,1569,CSc1ccc(CC(=O)NCc2nc(C(=O)NCCc3cccc(Cl)c3)cs2)cc1,0
150,376,CC(C)c1cc(-c2nnc(O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,1
151,328,COc1cc(N2CCN(C)CC2)c2cc1Nc1ncc(Cl)c(n1)Nc1cc(ccc1S(=O)(=O)C(C)C)CC2,1
152,1019,CNS(=O)(=O)c1ccccc1Cn1ccc2cnc(Nc3cc(OC)c(OC)c(OC)c3)nc21,0
153,1490,COc1ccc(Nc2nccc(Nc3cccc(S(N)(=O)=O)c3)n2)cc1OCCn1ccnc1,0
154,227,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(F)ccc2F)ncc1Br,1
155,565,O=C(COc1ccc(OC(F)(F)F)cc1)NCc1nc(C(=O)NCc2ccc(F)cc2)cs1,0
156,1269,COc1cc(Nc2ncc3ccn(-c4ccc(C)c([N+](=O)[O-])c4)c3n2)cc(OC)c1OC,0
157,640,CN(C)Cc1ccc(CSCCNC(=O)c2csc(CNC(=O)COc3ccc(OC(F)(F)F)cc3)n2)o1,0
158,854,Nc1cccc(Nc2nccc(Nc3ccccc3C(=O)O)n2)c1,0
159,1470,COc1ccc(Nc2ncc(C)c(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1OCCn1ccnc1,0
160,750,CC(=O)c1cccc(Nc2nccc(Nc3ccc4c(c3S(N)(=O)=O)OCCO4)n2)c1,0
161,1433,COc1cccc(Nc2ccnc(Nc3cccc(OCCN4CCN(C)CC4)c3)n2)c1S(N)(=O)=O,0
162,1644,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(N)(=O)=O)n2)c(F)cc1C1CCN(C)CC1,0
163,1041,COCCCNc1cc(Nc2nccc(Nc3cccc(OC)c3S(N)(=O)=O)n2)ccc1C,0
164,1604,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(=NC(=O)c3ccc4ccn(C)c4c3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,0
165,1325,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)N2CCNCC2)n1,0
166,1550,O=C(NCCc1cccc(Cl)c1)c1csc(CNC(=O)C2(c3ccc(Cl)cc3)CC2)n1,0
167,217,COc1cc(Nc2ncc3c(n2)N(c2cccnc2)CCC3)cc(OC)c1OC,1
168,266,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC3CCN(C(C)=O)CC3)ccc2OC)ncc1Br,1
169,1416,COc1cc(N2CC[C@H](N(C)C)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NCC(C)C)n1,0
170,235,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(C)cc2C)ncc1Br,1
171,1477,CN1CCCC(Oc2cccc(Nc3nccc(Nc4ccccc4S(N)(=O)=O)n3)c2)CC1,0
172,207,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC[C@@H](C(N)=O)C3)cc2OC)ncc1Cl,1
173,820,COc1cc(Nc2nccc(Nc3ccc4c(c3S(N)(=O)=O)OCCO4)n2)cc2ccccc12,0
174,76,COc1ccc(Nc2nc(Cl)ncc2Cl)c2c1CCN(C)C2=O,1
175,1488,COc1cc(Nc2nccc(Nc3ccc(-c4ccccc4)cc3S(N)(=O)=O)n2)cc(OC)c1OC,0
176,1150,COc1cc(Nc2nccc(Nc3ccc4cn[nH]c4c3)n2)cc(OC)c1OC,0
177,822,Cn1ncc2ccc(Nc3ncc(F)c(Nc4ccc5c(c4S(N)(=O)=O)OCCO5)n3)cc21,0
178,1640,C#Cc1cc(Nc2ncc(C)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C,0
179,870,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccc(N3CCN(C(C)C)CC3)c3c2C(=O)N(C)C3)n1,0
180,271,COc1cc(Nc2ncc3ccn(-c4cccc(C(=O)NCCN(C)C)c4)c3n2)cc(OC)c1OC,1
181,1542,Cc1ccc(N2CCN(C(=O)c3csc(CNC(=O)COc4ccc(OC(F)(F)F)cc4)n3)CC2C)cc1,0
182,1290,COC(=O)CCc1cccc(-n2ccc3cnc(Nc4cc(OC)c(OC)c(OC)c4)nc32)c1,0
183,1242,COc1cc(Nc2ncc3ccn(-c4cccc5cccnc45)c3n2)cc(OC)c1OC,0
184,1023,Nc1ccc(Nc2nccc(Nc3ccc4c(c3S(N)(=O)=O)OCCO4)n2)cc1C(F)(F)F,0
185,469,CC(C)NC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3ccc(C(N)=O)cc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
186,124,COc1cc(N2CCC(N(C)C)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
187,1491,Oc1ccc(Cl)cc1Nc1ccnc(Nc2cccc(OCCN3CCOCC3)c2)n1,0
188,812,COc1ccc(Nc2nccc(Nc3cccc(OCC(F)(F)F)c3S(N)(=O)=O)n2)cc1OC,0
189,1007,C/C=C/NS(=O)(=O)c1cccc(Nc2ccnc(Nc3cccc(OCCn4ccnc4)c3)n2)c1,0
190,1646,CC(C)Oc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n1)C(=O)N([C@H]1CN[C@H](C(=O)O)C1)C2,0
191,1194,COc1ccc(Nc2nccc(Nc3cccc(O)c3)n2)cc1OCCCn1ccnc1,0
192,837,COc1ccc(Nc2nccc(Nc3ccc4c(c3S(N)(=O)=O)OC(F)(F)C(F)(F)O4)n2)cc1OC,0
193,786,O=C(/N=c1\[nH]c2ccc(CN3CCCCC3)cc2n1C1CCC(CO)CC1)c1ccc(F)cc1,0
194,72,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCOCC3)ccc2C)ncc1Br,1
195,136,COc1cc(N2CCN(C)C(=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
196,1014,Nc1ccc(Nc2nccc(Nc3ccc4c(c3S(N)(=O)=O)OCCO4)n2)cc1C(=O)O,0
197,257,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Br,1
198,4,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCNCC1,1
199,306,COc1cc(OC)c(OC)cc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
200,933,COc1ccc(Nc2ncc(Cl)c(Nc3ccc(N4CCN(C)CC4)c4c3C(=O)N(C)C4)n2)c(OC)c1,0
201,1175,CNS(=O)(=O)c1ccccc1Nc1ccnc(Nc2cccc(OCCn3ccnc3)c2)n1,0
202,1008,C/C=C/NS(=O)(=O)c1cccc(Nc2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)c1,0
203,1017,O=C(O)c1ccccc1Nc1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,0
204,1557,O=C(COc1ccc(OC(F)(F)F)cc1)NCc1nc(C(=O)NCCc2ccccn2)co1,0
205,1564,CCCCOc1ccc(NC(=O)NCc2nc(C(=O)NCc3cccc(OC)c3OC)cs2)cc1,0
206,455,C=CCNS(=O)(=O)c1cc(C(=O)Nc2nc3ccc(CO)cc3n2[C@H]2CC[C@@H](C(=O)OC)CC2)ccc1F,1
207,941,O=C(N=c1[nH]c2ccc(CN3CCCCC3)cc2n1[C@H]1CC[C@@H](CO)CC1)c1ccc(F)cc1,0
208,38,CCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC[C@@H](C(N)=O)C3)cc2OC)ncc1Cl,1
209,1106,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(C)c2)ncc1Br,0
